Library Name,Workspace Setup (0-5),WiFi Quality (0-5),Power Outlets (0-5),Conference Areas,Cafe,Food Options Nearby,Lockers,Meeting Rooms,Time Limits,Phone Call Policy,Professional Atmosphere,Ventilation,Cell Reception
Bezirkszentralbibliothek Spandau,4,3,3,Limited,No,Some,Yes,No,,Designated areas,4,3,4
Stadtteilbibliothek Falkenhagener Feld,3,3,2,No,No,Some,No,No,,No,3,3,3
Stadtteilbibliothek Heerstraße,3,3,2,No,No,Some,No,No,,No,3,3,3
Bibliothek Kladow,3,3,2,No,No,Limited,No,No,,No,3,3,3
Ingeborg-Drewitz-Bibliothek,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Gottfried-Benn-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Bezirksbibliothek Steglitz,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Stadtteilbibliothek Lankwitz,3,3,2,No,No,Some,No,No,,No,3,3,3
Eva-Maria-Buch-Haus,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Gertrud-Kolmar-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Stadtteilbibliothek Friedenau,3,3,2,No,No,Some,No,No,,No,3,3,3
Bibliothek am Bundesplatz,3,3,2,No,No,Many,No,No,,No,3,3,3
Helene-Nathan-Bibliothek,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Bibliothek am Sandberg,3,3,2,No,No,Some,No,No,,No,3,3,3
Stadtteilbibliothek Britz,3,3,2,No,No,Some,No,No,,No,3,3,3
Mittelpunktbibliothek Köpenick,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Stadtbibliothek Friedrichshagen,3,3,2,No,No,Some,No,No,,No,3,3,3
Stadt- und Regionalbibliothek Treptow,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Bibliothek Baumschulenweg,3,3,2,No,No,Some,No,No,,No,3,3,3
Mark-Twain-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Heinrich-von-Kleist-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Biesdorf-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Kaulsdorf-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Anna-Seghers-Bibliothek,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Bodo-Uhse-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Anton-Saefkow-Bibliothek,3,3,2,No,No,Some,No,No,,No,3,3,3
Bibliothek im Linden-Center,3,3,2,No,No,Many,No,No,,No,3,3,3
Humboldt-Bibliothek,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Stadtteilbibliothek Reinickendorf-Ost,3,3,2,No,No,Some,No,No,,No,3,3,3
Stadtteilbibliothek Märkisches Viertel,3,3,2,No,No,Some,No,No,,No,3,3,3
Bibliothek am Schäfersee,3,3,2,No,No,Some,No,No,,No,3,3,3
Ibero-Amerikanisches Institut,4,4,3,Limited,Yes,Many,Yes,Limited,,Designated areas,4,4,4
Bibliothek des Jüdischen Museums,4,4,3,Limited,Yes,Many,Yes,Limited,,Designated areas,4,4,4
Stiftung Neue Synagoge Berlin - Centrum Judaicum Library,4,3,3,Limited,No,Many,Yes,No,,Designated areas,4,3,4
Amerika-Haus Bibliothek,4,4,3,Limited,Yes,Many,Yes,Limited,,Designated areas,4,4,4
Goethe-Institut Library,4,4,3,Limited,Yes,Many,Yes,Limited,,Designated areas,4,4,4
